degree_celsius,humidity,ph,latitude,longitude,date et heure
27.5000,340,5.5969,45.19137573,5.75408983,27/6/2021 19:20:14
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:16
27.5000,336,5.5713,45.19137573,5.75408983,27/6/2021 19:20:17
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:19
27.5000,341,5.6055,45.19137573,5.75408983,27/6/2021 19:20:20
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:20:22
27.5000,337,5.5884,45.19137573,5.75408983,27/6/2021 19:20:23
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:25
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:27
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:20:28
27.5000,339,5.5998,45.19137573,5.75408983,27/6/2021 19:20:30
27.5000,340,5.5998,45.19137573,5.75408983,27/6/2021 19:20:32
27.5000,337,5.5884,45.19137573,5.75408983,27/6/2021 19:20:33
27.5000,340,5.5884,45.19137573,5.75408983,27/6/2021 19:20:34
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:36
27.5000,337,5.5713,45.19137573,5.75408983,27/6/2021 19:20:37
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:38
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:40
27.5000,336,5.5713,45.19137573,5.75408983,27/6/2021 19:20:41
27.5000,340,5.5884,45.19137573,5.75408983,27/6/2021 19:20:43
27.5000,340,5.5998,45.19137573,5.75408983,27/6/2021 19:20:44
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:46
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:20:47
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:49
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:20:50
27.5000,338,5.5884,45.19137573,5.75408983,27/6/2021 19:20:52
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:20:53
27.5000,339,5.5941,45.19137573,5.75408983,27/6/2021 19:20:55
27.5000,337,5.5713,45.19137573,5.75408983,27/6/2021 19:20:56
27.5000,339,5.5770,45.19137573,5.75408983,27/6/2021 19:20:57
27.5000,338,5.5855,45.19137573,5.75408983,27/6/2021 19:20:59
27.5000,337,5.5713,45.19137573,5.75408983,27/6/2021 19:21:0
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:2
27.5000,340,5.6055,45.19137573,5.75408983,27/6/2021 19:21:3
27.4375,339,5.5969,45.19137573,5.75408983,27/6/2021 19:21:5
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:7
27.5000,340,5.5941,45.19137573,5.75408983,27/6/2021 19:21:9
27.4375,340,5.6055,45.19137573,5.75408983,27/6/2021 19:21:10
27.4375,339,5.5998,45.19137573,5.75408983,27/6/2021 19:21:12
27.4375,340,5.5884,45.19137573,5.75408983,27/6/2021 19:21:13
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:21:15
27.4375,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:17
27.5000,336,5.5713,45.19137573,5.75408983,27/6/2021 19:21:18
27.5000,339,5.5884,45.19137573,5.75408983,27/6/2021 19:21:20
27.4375,340,5.5998,45.19137573,5.75408983,27/6/2021 19:21:21
27.4375,338,5.5884,45.19137573,5.75408983,27/6/2021 19:21:23
27.4375,339,5.5941,45.19137573,5.75408983,27/6/2021 19:21:24
